TID;OMRÅDE;INDHOLD
2025K2;Aabenraa;986
2025K2;Region Midtjylland;18101
2025K2;Favrskov;379
2025K2;Hedensted;552
2025K2;Horsens;1228
2025K2;Norddjurs;435
2025K2;Odder;159
2025K2;Randers;1516
2025K2;Samsø;55
2025K2;Silkeborg;1143
2025K2;Skanderborg;453
2025K2;Syddjurs;371
2025K2;Aarhus;6867
2025K2;Herning;1064
2025K2;Holstebro;816
2025K2;Ikast-Brande;650
2025K2;Lemvig;158
2025K2;Ringkøbing-Skjern;457
2025K2;Skive;540
2025K2;Struer;186
2025K2;Viborg;1072
2025K2;Region Nordjylland;7177
2025K2;Brønderslev;347
2025K2;Frederikshavn;723
2025K2;Hjørring;737
2025K2;Jammerbugt;340
2025K2;Læsø;6
2025K2;Mariagerfjord;479
2025K2;Morsø;201
2025K2;Rebild;254
2025K2;Thisted;338
2025K2;Vesthimmerlands;385
2025K2;Aalborg;3367
2025K2;Uoplyst kommune;8221
2025K3;Hele landet;103457
2025K3;Region Hovedstaden;39310
2025K3;København;19002
2025K3;Frederiksberg;1838
2025K3;Dragør;129
2025K3;Tårnby;1636
2025K3;Albertslund;637
2025K3;Ballerup;983
2025K3;Brøndby;677
2025K3;Gentofte;1057
2025K3;Gladsaxe;1098
2025K3;Glostrup;602
2025K3;Herlev;541
2025K3;Hvidovre;1472
2025K3;Høje-Taastrup;970
2025K3;Ishøj;422
2025K3;Lyngby-Taarbæk;900
2025K3;Rødovre;725
2025K3;Vallensbæk;285
2025K3;Allerød;281
2025K3;Egedal;436
2025K3;Fredensborg;482
2025K3;Frederikssund;554
2025K3;Furesø;475
2025K3;Gribskov;538
2025K3;Halsnæs;374
2025K3;Helsingør;1061
2025K3;Hillerød;803
2025K3;Hørsholm;266
2025K3;Rudersdal;660
2025K3;Bornholm;404
2025K3;Christiansø;2
2025K3;Region Sjælland;12752
2025K3;Greve;888
2025K3;Køge;879
2025K3;Lejre;238
2025K3;Roskilde;2041
2025K3;Solrød;276
2025K3;Faxe;420
2025K3;Guldborgsund;1001
2025K3;Holbæk;872
2025K3;Kalundborg;600
2025K3;Lolland;668
2025K3;Næstved;1309
2025K3;Odsherred;534
2025K3;Ringsted;474
2025K3;Slagelse;1334
2025K3;Sorø;383
2025K3;Stevns;206
2025K3;Vordingborg;629
2025K3;Region Syddanmark;17427
2025K3;Assens;404
2025K3;Faaborg-Midtfyn;575
2025K3;Kerteminde;316
2025K3;Langeland;102
2025K3;Middelfart;513
2025K3;Nordfyns;331
2025K3;Nyborg;424
2025K3;Odense;3897
2025K3;Svendborg;697
2025K3;Ærø;38
2025K3;Billund;502
2025K3;Esbjerg;1739
2025K3;Fanø;60
2025K3;Fredericia;831
2025K3;Haderslev;853
2025K3;Kolding;1270
2025K3;Sønderborg;734
2025K3;Tønder;467
2025K3;Varde;524
2025K3;Vejen;380
2025K3;Vejle;1747
2025K3;Aabenraa;1023
2025K3;Region Midtjylland;18517
2025K3;Favrskov;351
2025K3;Hedensted;477
2025K3;Horsens;1214
2025K3;Norddjurs;444
2025K3;Odder;189
2025K3;Randers;1354
2025K3;Samsø;72
2025K3;Silkeborg;1153
2025K3;Skanderborg;677
2025K3;Syddjurs;411
2025K3;Aarhus;7133
2025K3;Herning;1116
2025K3;Holstebro;679
2025K3;Ikast-Brande;892
2025K3;Lemvig;137
2025K3;Ringkøbing-Skjern;476
2025K3;Skive;493
2025K3;Struer;188
2025K3;Viborg;1061
2025K3;Region Nordjylland;7090
2025K3;Brønderslev;289
2025K3;Frederikshavn;786
2025K3;Hjørring;762
2025K3;Jammerbugt;371
2025K3;Læsø;17
2025K3;Mariagerfjord;460
2025K3;Morsø;162
2025K3;Rebild;254
2025K3;Thisted;344
2025K3;Vesthimmerlands;430
2025K3;Aalborg;3215
2025K3;Uoplyst kommune;8361
2025K4;Hele landet;104624
2025K4;Region Hovedstaden;39330
2025K4;København;18690
2025K4;Frederiksberg;1885
2025K4;Dragør;115
2025K4;Tårnby;1597
2025K4;Albertslund;608
2025K4;Ballerup;979
2025K4;Brøndby;651
2025K4;Gentofte;1263
2025K4;Gladsaxe;1102
2025K4;Glostrup;592
2025K4;Herlev;541
2025K4;Hvidovre;995
2025K4;Høje-Taastrup;962
2025K4;Ishøj;503
2025K4;Lyngby-Taarbæk;902
2025K4;Rødovre;868
2025K4;Vallensbæk;309
2025K4;Allerød;324
2025K4;Egedal;447
2025K4;Fredensborg;516
2025K4;Frederikssund;571
2025K4;Furesø;535
2025K4;Gribskov;506
2025K4;Halsnæs;317
2025K4;Helsingør;1125
2025K4;Hillerød;1017
2025K4;Hørsholm;363
2025K4;Rudersdal;717
2025K4;Bornholm;328
2025K4;Christiansø;2
2025K4;Region Sjælland;12506
2025K4;Greve;1068
2025K4;Køge;920
2025K4;Lejre;258
2025K4;Roskilde;1261
2025K4;Solrød;287
2025K4;Faxe;418
2025K4;Guldborgsund;1020
2025K4;Holbæk;912
2025K4;Kalundborg;570
2025K4;Lolland;836
2025K4;Næstved;1263
2025K4;Odsherred;429
2025K4;Ringsted;451
2025K4;Slagelse;1699
2025K4;Sorø;361
2025K4;Stevns;237
2025K4;Vordingborg;516
2025K4;Region Syddanmark;18484
2025K4;Assens;481
2025K4;Faaborg-Midtfyn;590
2025K4;Kerteminde;274
2025K4;Langeland;118
2025K4;Middelfart;562
2025K4;Nordfyns;464
